Sites,Site_sub,Site_sub_sub,QueryScript,psite_include,psite_exclude,hist_include,hist_exclude,dx_year,er,her2,ssf16
Oral Cavity and Pharynx,Lip,,((PSite between 'C000' and 'C009') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Tongue,,((PSite between 'C019' and 'C029') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Salivary Gland,,((PSite between 'C079' and 'C089') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Floor of Mouth,,((PSite between 'C040' and 'C049') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Gum and Other Mouth,,((PSite between 'C030' and 'C039' or PSite between 'C050' and 'C059' or PSite between 'C060' and 'C069') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Nasopharynx,,((PSite between 'C110' and 'C119') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Tonsil,,((PSite between 'C090' and 'C099') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Oropharynx,,((PSite between 'C100' and 'C109') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Hypopharynx,,((PSite = 'C129' or PSite between 'C130' and 'C139') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Oral Cavity and Pharynx,Other Oral Cavity and Pharynx,,"((PSite in ('C140','C142','C148')) and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))",,,,,,,,
Digestive System,Esophagus,,((PSite between 'C150' and 'C159') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Stomach,,((PSite between 'C160' and 'C169') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Small Intestine,,((PSite between 'C170' and 'C179') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Colon and Rectum,Colon,"((PSite in ('C180','C181','C182','C183','C184','C185','C186','C187','C260') or PSite between 'C188' and 'C189') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))",,,,,,,,
Digestive System,Colon and Rectum,Right colon (Cecum through transverse colon),PSite between 'C180' and 'C184',,,,,,,,
Digestive System,Colon and Rectum,Left Colon (Splenic flexure through sigmoid colon),PSite between 'C185' and 'C187',,,,,,,,
Digestive System,Colon and Rectum,Colon NOS/overlapping,PSite between 'C188' and 'C189',,,,,,,,
Digestive System,Colon and Rectum,Rectum and Rectosigmoid Junction,"((PSite in ('C199','C209')) and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))",,,,,,,,
Digestive System,Colon and Rectum,Rectosigmoid junction,PSite in ('C199'),,,,,,,,
Digestive System,Colon and Rectum,Rectum,PSite in ('C209'),,,,,,,,
Digestive System,"Anus, Anal Canal and Anorectum",,((PSite between 'C210' and 'C212' or PSite ='C218') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Liver and Intrahepatic bile duct,Liver,((PSite = 'C220') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Liver and Intrahepatic bile duct,Intrahepatic Bile Duct,((PSite = 'C221') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Gallbladder,,((PSite = 'C239') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Other Biliary,,((PSite between 'C240' and 'C249') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Pancreas,,((PSite between 'C250' and 'C259') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,Retroperitoneum,,((PSite = 'C480') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Digestive System,"Peritoneum, Omentum and Mesentery",,"((PSite in ('C481','C482')) and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))",,,,,,,,
Digestive System,Other Digestive Organs,,((PSite between 'C268' and 'C269' or PSite = 'C488') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Respiratory system,Nasal Cavity and Middle Ear,,((PSite between 'C300' and 'C301' ) and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Respiratory system,Accessory sinuses,,((PSite between 'C310' and 'C319') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Respiratory system,Larynx,,((PSite between 'C320' and 'C329') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Respiratory system,Lung and Bronchus,,((PSite between 'C340' and 'C349') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Respiratory system,Pleura,,((PSite = 'C384') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Respiratory system,"Trachea, Mediastinum and Other Respiratory Organs",,"((PSite = 'C339' or PSite between 'C381' and 'C383' or PSite in ('C388', 'C390', 'C398', 'C399')) and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))",,,,,,,,
Bones and Joints,,,((PSite between 'C400' and 'C419') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Soft Tissue including Heart,,,((PSite = 'C380' or PSite between 'C470' and 'C479' or PSite between 'C490' and 'C499') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Skin,Melanoma of the Skin,,((PSite between 'C440' and 'C449') and (HistTypeICDO3 between '8720' and '8790')),,,,,,,,
Skin,Other Non-Epithelial Skin,,((PSite between 'C440' and 'C449') and NOT(HistTypeICDO3 between '8000' and '8005' or HistTypeICDO3 between '8010' and '8046' or HistTypeICDO3 between '8050' and '8084' or HistTypeICDO3 between '8090' and '8110' or HistTypeICDO3 between '8720' and '8790' or HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 between '9590' and '9992' or HistTypeICDO3 = '9140')),,,,,,,,
Breast,,,((PSite between 'C500' and 'C509') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Breast,ER+/HER2-,,((PSite between 'C500' and 'C509') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')) AND ((Dx Year <2018 AND (SSF16 = 100 OR SSF16 = 110)) OR (Dx Year >=2018 AND (ERSummary = 1 AND HER2OverallSumm =0))),,,,,,,,
Breast,ER+/HER2+,,((PSite between 'C500' and 'C509') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')) AND ((Dx Year <2018 AND (SSF16 = 101 OR SSF16 = 111)) OR (Dx Year >=2018 AND (ERSummary = 1 AND HER2OverallSumm =1))),,,,,,,,
Breast,ER-/HER2+,,((PSite between 'C500' and 'C509') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')) AND ((Dx Year <2018 AND (SSF16 = 001 OR SSF16 = 011)) OR (Dx Year >=2018 AND (ERSummary = 0 AND HER2OverallSumm =1))),,,,,,,,
Breast,Triple negative (incldes ER-/PR-/HER2- and ER-/PR+/HER2-),,((PSite between 'C500' and 'C509') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')) AND ((Dx Year <2018 AND (SSF16 = 000 OR SSF16 = 010)) OR (Dx Year >=2018 AND (ERSummary = 0 AND HER2OverallSumm =0))),,,,,,,,
Female genital system,Cervix Uteri,,((PSite between 'C530' and 'C539') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Female genital system,"Corpus and Uteros, NOS",Corpus Uteri,((PSite between 'C540' and 'C549') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Female genital system,"Corpus and Uteros, NOS","Uterus, NOS",((PSite = 'C559') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Female genital system,Ovary,,((PSite = 'C569') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Female genital system,Vagina,,((PSite = 'C529') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Female genital system,Vulva,,((PSite between 'C510' and 'C519') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Female genital system,Other Female Genital Organs,,((PSite between 'C570' and 'C579' or PSite = 'C589') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Male genital system,Prostate,,((PSite = 'C619') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Male genital system,Testis,,((PSite between 'C620' and 'C629') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Male genital system,Penis,,((PSite between 'C600' and 'C609') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Male genital system,Other Male Genital Organs,,((PSite between 'C630' and 'C639') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Urinary system,Urinary Bladder,,((PSite between 'C670' and 'C679') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Urinary system,Kidney and Renal Pelvis,,"(PSite in ('C649', 'C659') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))",,,,,,,,
Urinary system,Ureter,,((PSite = 'C669') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Urinary system,Other Urinary Organs,,((PSite between 'C680' and 'C689') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Eye and Orbit,,,((PSite between 'C690' and 'C699') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Brain and Other Nervous System,,,((PSite between 'C710' and 'C719' and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')) or (PSite between 'C710' and 'C719' and (HistTypeICDO3 between '9530' and '9539')) or ((PSite between 'C700' and 'C709' or PSite between 'C720' and 'C729') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))),,,,,,,,
Nervous system,Brain,,((PSite between 'C710' and 'C719' and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9530' and '9539' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Nervous system,Brain,Brain - Glioma - Glioblastoma,((PSite between 'C710' and 'C719' and (HistTypeICDO3 between '9440' and '9441')),,,,,,,,
Nervous system,Brain,Brian - Glioma - Other,((PSite between 'C710' and 'C719' and (HistTypeICDO3 between '9380' and '9432' or HistTypeICDO3 between '9442 and '9480')),,,,,,,,
Nervous system,Brain,Brain - Other,((PSite between 'C710' and 'C719' and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9530' and '9539' or HistTypeICDO3 between '9590' and '9992' or HistTypeICDO3 between '9440' and '9441' or HistTypeICDO3 between '9380' and '9432' or HistTypeICDO3 between '9442 and '9480' )),,,,,,,,
Nervous system,Spinal cord (not including cauda equina),,((PSite 'C720' and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))),,,,,,,,
Nervous system,Meninges,,((PSite between 'C700' and 'C709' and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'),,,,,,,,
Nervous system,Cranial nerves and Other parts of NCS,,((PSite between 'C721' and 'C729') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))),,,,,,,,
Endocrine system,Thyroid,,((PSite = 'C739') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Endocrine system,Thyroid,Thyroid - Papillary,"((PSite = 'C739') and ( HistTypeICDO3 in ('8050', '8130', '8260', '8503') or (HistTypeICDO3 between '8340' and '8344')) )",,,,,,,,
Endocrine system,Thyroid,Thyroid - Follicular,((PSite = 'C739') and ((HistTypeICDO3 between '8330' and '8332') or (HistTypeICDO3 between '8334' and '8335')) ),,,,,,,,
Endocrine system,Thyroid,Thyroid - Medullary,((PSite = 'C739') and ((HistTypeICDO3 between '8510' and '8513') or (HistTypeICDO3 = '8345')) ),,,,,,,,
Endocrine system,Thyroid,Thyroid - Hurthle cell,((PSite = 'C739') and (HistTypeICDO3 = '8345') ),,,,,,,,
Endocrine system,Thyroid,Thyroid - Other = All thyroid minus subtypes,"((PSite = 'C739') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992' or HistTypeICDO3 in ('8050', '8130', '8260', '8503') or HistTypeICDO3 between '8340' and '8344' or HistTypeICDO3 between '8330' and '8332' or HistTypeICDO3 between '8334' and '8335' or HistTypeICDO3 between '8510' and '8513' or HistTypeICDO3 = '8345' or HistTypeICDO3 = '8345')",,,,,,,,
